Id,Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,Citizen,Income,Category
502,0,64.08,0.165,1,0,5,2,0,1,1,1,0,100,0
503,1,28.25,5.125,1,0,13,7,4.75,1,1,2,0,7,0
504,0,28.75,3.75,1,0,1,7,1.085,1,1,1,0,0,0
505,1,31.33,19.5,1,0,1,7,7,1,1,16,0,5000,0
506,0,18.92,9,1,0,0,7,0.75,1,1,2,0,591,0
508,0,30.67,12,1,0,1,7,2,1,1,1,0,19,0
509,1,21,4.79,2,2,12,7,2.25,1,1,1,0,300,0
510,1,13.75,4,2,2,12,7,1.75,1,1,2,0,1000,0
512,0,44.33,0,1,0,1,7,2.5,1,0,0,0,0,0
513,1,20.25,9.96,1,0,4,1,0,1,0,0,0,0,0
514,1,22.67,2.54,2,2,1,3,2.585,1,0,0,0,0,0
515,1,31.56817109,10.5,1,0,13,7,6.5,1,0,0,0,0,0
516,0,60.92,5,1,0,0,7,4,1,1,4,0,99,0
517,1,16.08,0.75,1,0,1,7,1.75,1,1,5,0,690,0
519,1,39.17,1.71,1,0,13,7,0.125,1,1,5,0,0,0
520,1,20.42,7.5,1,0,8,7,1.5,1,1,1,0,234,0
521,0,30,5.29,1,0,4,1,2.25,1,1,5,0,500,0
522,1,22.83,3,1,0,9,7,1.29,1,1,1,0,800,0
523,0,22.5,8.5,1,0,10,7,1.75,1,1,10,0,990,1
524,0,28.58,1.665,1,0,10,7,2.415,1,0,0,0,0,1
528,0,55.75,7.08,1,0,8,3,6.75,1,1,3,0,50,1
529,1,43.25,25.21,1,0,10,3,0.21,1,1,1,0,90,1
530,0,25.33,2.085,1,0,1,3,2.75,1,0,0,0,1,1
531,0,24.58,0.67,1,0,0,3,1.75,1,0,0,0,0,1
532,1,43.17,2.25,1,0,6,0,0.75,1,0,0,0,0,1
533,1,40.92,0.835,1,0,5,2,0,1,0,0,0,1,1
535,0,33.92,1.585,2,2,5,2,0,1,0,0,0,0,1
538,1,34.25,1.75,1,0,12,0,0.25,1,0,0,0,0,1
539,1,80.25,5.5,1,0,1,7,0.54,1,0,0,0,340,1
540,1,19.42,1.5,2,2,2,7,2,1,0,0,0,20,1
541,1,42.75,3,1,0,6,0,1,1,0,0,0,200,1
542,1,19.67,10,2,2,8,3,0.835,1,0,0,0,0,1
543,1,36.33,3.79,1,0,12,7,1.165,1,0,0,0,0,1
544,1,30.08,1.04,2,2,6,0,0.5,1,1,10,0,28,1
545,1,44.25,11,2,2,3,7,1.5,1,0,0,2,0,1
546,1,23.58,0.46,2,2,12,7,2.625,1,1,6,0,347,1
547,1,23.92,1.5,1,0,3,3,1.875,1,1,6,0,327,0
548,1,33.17,1,1,0,13,7,0.75,1,1,7,0,4071,0
550,1,76.75,22.29,1,0,4,8,12.75,1,1,1,0,109,0
551,1,51.33,10,1,0,6,0,0,1,1,11,0,1249,0
553,1,38.58,3.335,1,0,12,7,4,1,1,14,0,1344,0
555,1,41.92,0.42,1,0,1,3,0.21,1,1,6,0,948,0
557,0,32.17,1.46,1,0,12,7,1.085,1,1,16,0,2079,0
558,1,51.42,0.04,1,0,13,3,0.04,1,0,0,0,3000,0
559,0,22.83,2.29,1,0,10,3,2.29,1,1,7,0,2384,0
560,0,25,12.33,1,0,2,3,3.5,1,1,6,0,458,0
561,1,26.75,1.125,1,0,13,3,1.25,1,0,0,0,5298,0
562,1,23.33,1.5,1,0,1,3,1.415,1,0,0,0,200,0
563,1,24.42,12.335,1,0,10,3,1.585,1,0,0,0,0,0
564,1,42.17,5.04,1,0,10,3,12.75,1,0,0,0,0,0
565,0,20.83,3,1,0,0,7,0.04,1,0,0,0,0,0
566,1,23.08,11.5,1,0,12,3,2.125,1,1,11,0,284,0
567,0,25.17,2.875,1,0,13,3,0.875,1,0,0,0,0,0
570,1,59.5,2.75,1,0,12,7,1.75,1,1,5,0,58,0
571,1,21,3,2,2,3,7,1.085,1,1,8,0,1,0
573,0,65.17,14,1,0,5,2,0,1,1,11,0,1400,0
574,0,20.33,10,1,0,1,3,1,1,1,4,0,1465,0
575,1,32.25,0.165,2,2,1,3,3.25,1,1,1,0,8000,0
577,1,25.17,6,1,0,1,7,1,1,1,3,0,0,0
578,1,39.17,1.625,1,0,1,7,1.5,1,1,10,0,4700,0
579,1,39.08,6,1,0,9,7,1.29,1,1,5,0,1097,0
580,1,31.67,0.83,1,0,13,7,1.335,1,1,8,0,3290,0
581,1,41,0.04,1,0,4,7,0.04,0,1,1,2,0,0
582,1,48.5,4.25,1,0,9,7,0.125,1,0,0,0,0,0
583,1,32.67,9,2,2,12,3,5.25,1,0,0,0,0,0
584,0,28.08,15,2,2,4,8,0,1,0,0,0,13212,0
585,1,73.42,17.75,1,0,5,2,0,1,0,0,0,0,0
587,1,51.58,15,1,0,1,7,8.5,1,1,9,0,0,0
588,1,26.67,1.75,2,2,1,7,1,1,1,5,0,5777,0
589,1,25.33,0.58,1,0,1,7,0.29,1,1,7,0,5124,0
590,1,30.17,6.5,1,0,2,7,3.125,1,1,8,0,1200,0
591,1,27,0.75,1,0,1,3,4.25,1,1,3,0,150,0
592,1,23.17,0,1,0,1,7,0,0,0,0,1,0,0
593,1,34.17,5.25,1,0,12,7,0.085,0,0,0,0,6,0
596,0,46.08,3,1,0,1,7,2.375,1,1,8,0,4159,0
597,0,21.5,6,1,0,0,7,2.5,1,1,3,0,918,0
598,1,20.08,0.125,1,0,10,7,1,0,1,1,0,768,0
599,1,20.5,2.415,1,0,1,7,2,1,1,11,0,3000,0
600,0,29.5,0.46,1,0,8,7,0.54,1,1,4,0,500,0
601,1,42.25,1.75,2,2,1,7,0,0,0,0,0,1,1
602,1,29.83,1.25,2,2,8,7,0.25,0,0,0,0,0,1
603,1,20.08,0.25,1,0,10,7,0.125,0,0,0,0,0,1
604,1,23.42,0.585,1,0,1,3,0.085,1,0,0,0,0,1
605,0,29.58,1.75,2,2,8,7,1.25,0,0,0,0,0,1
607,1,32.33,3.5,1,0,8,7,0.5,0,0,0,0,0,1
608,1,31.56817109,0.04,2,2,3,7,4.25,0,0,0,0,0,1
609,1,47.83,4.165,1,0,13,0,0.085,0,0,0,0,0,1
610,1,20,1.25,2,2,8,7,0.125,0,0,0,0,4,1
612,1,22,0.79,1,0,12,7,0.29,0,1,1,0,283,1
613,1,19.33,10.915,1,0,1,0,0.585,0,1,2,0,7,1
614,0,38.33,4.415,1,0,1,7,0.125,0,0,0,0,0,1
615,1,29.42,1.25,1,0,1,3,0.25,0,1,2,0,108,1
618,1,29.58,4.75,1,0,9,7,2,0,1,1,0,68,1
619,1,18.42,10.415,2,2,0,7,0.125,1,0,0,0,375,1
620,1,22.17,2.25,1,0,6,7,0.125,0,0,0,0,10,1
622,0,25.58,0,1,0,1,7,0,0,0,0,1,0,0
623,1,18.83,0,1,0,10,7,0.665,0,0,0,0,1,1
625,1,23.75,12,1,0,1,7,2.085,0,0,0,2,0,1
626,1,22,7.835,2,2,6,0,0.165,0,0,0,0,0,1
627,1,36.08,2.54,1,0,5,2,0,0,0,0,0,1000,1
628,1,29.25,13,1,0,3,3,0.5,0,0,0,0,0,1
629,0,19.58,0.665,1,0,12,7,1.665,0,0,0,0,5,1
630,0,22.92,1.25,1,0,10,7,0.25,0,0,0,0,809,1
631,0,27.25,0.29,1,0,9,3,0.125,0,1,1,0,108,1
632,0,38.75,1.5,1,0,5,2,0,0,0,0,0,0,1
633,1,32.42,2.165,2,2,8,2,0,0,0,0,0,0,1
634,0,23.75,0.71,1,0,12,7,0.25,0,1,1,0,4,1
635,1,18.17,2.46,1,0,1,5,0.96,0,1,2,0,587,1
636,1,40.92,0.5,2,2,9,7,0.5,0,0,0,0,0,1
637,1,19.5,9.585,1,0,0,7,0.79,0,0,0,0,350,1
638,1,28.58,3.625,1,0,0,7,0.25,0,0,0,0,0,1
641,1,33.17,2.25,2,2,2,7,3.5,0,0,0,0,141,1
642,1,31.58,0.75,2,2,0,7,3.5,0,0,0,0,0,1
643,0,52.5,7,1,0,0,3,3,0,0,0,0,0,1
644,1,36.17,0.42,2,2,12,7,0.29,0,0,0,0,2,1
646,0,20.83,8.5,1,0,1,7,0.165,0,0,0,0,351,1
647,1,24.08,9,1,0,0,7,0.25,0,0,0,0,0,1
648,1,25.58,0.335,1,0,8,3,3.5,0,0,0,0,0,1
649,0,35.17,3.75,1,0,5,2,0,0,1,6,0,200,1
651,0,15.83,7.625,1,0,10,7,0.125,0,1,1,0,160,1
653,1,21.5,11.5,1,0,6,7,0.5,1,0,0,0,68,1
654,0,23.58,0.83,1,0,10,7,0.415,0,1,1,0,11,1
656,1,25.67,3.25,1,0,1,3,2.29,0,1,1,0,21,1
659,0,28.58,3.75,1,0,1,7,0.25,0,1,1,0,154,1
660,1,22.25,9,1,0,0,7,0.085,0,0,0,0,0,1
661,1,29.83,3.5,1,0,1,7,0.165,0,0,0,0,0,1
663,1,32.08,4,2,2,2,7,1.5,0,0,0,0,0,1
664,1,31.08,1.5,2,2,12,7,0.04,0,0,0,2,0,1
665,1,31.83,0.04,2,2,9,7,0.04,0,0,0,0,0,1
666,0,21.75,11.75,1,0,1,7,0.25,0,0,0,0,0,1
667,0,17.92,0.54,1,0,1,7,1.75,0,1,1,0,5,1
670,1,47.17,5.835,1,0,12,7,5.5,0,0,0,0,150,1
672,0,50.25,0.835,1,0,0,7,0.5,0,0,0,0,117,1
673,1,29.5,2,2,2,4,3,2,0,0,0,0,17,1
674,0,37.33,2.5,1,0,6,3,0.21,0,0,0,0,246,1
675,0,41.58,1.04,1,0,0,7,0.665,0,0,0,0,237,1
678,0,17.92,10.21,1,0,5,2,0,0,0,0,0,50,1
679,0,20.08,1.25,1,0,1,7,0,0,0,0,0,0,1
680,1,19.5,0.29,1,0,8,7,0.29,0,0,0,0,364,1
682,1,17.08,3.29,1,0,6,7,0.335,0,0,0,0,2,1
683,1,36.42,0.75,2,2,3,7,0.585,0,0,0,0,3,1
684,1,40.58,3.29,1,0,9,7,3.5,0,0,0,2,0,1
687,0,25.25,13.5,2,2,5,2,2,0,1,1,0,1,1
688,1,17.92,0.205,1,0,0,7,0.04,0,0,0,0,750,1
689,1,35,3.375,1,0,1,3,8.29,0,0,0,0,0,1
